VarTGP,VarGP,ExactGP,Dataset,Prior
0.20527121,0.14600167,0.13410725,AgNP_dataset.csv,LogNormal
0.36112848,0.2716674,0.10948642,AutoAM_dataset.csv,LogNormal
0.28279537,0.25763288,0.22901894,CrossedBarrel_dataset.csv,LogNormal
0.33166802,0.29890925,0.30655608,P3HT_dataset.csv,LogNormal
1.1217792,0.950351,1.0144472,Perovskite_dataset.csv,LogNormal
0.17862763,0.13604493,0.11595695,AgNP_dataset.csv,LogNormal
0.32674414,0.2467771,0.10948642,AutoAM_dataset.csv,LogNormal
0.2767382,0.25734532,0.20999639,CrossedBarrel_dataset.csv,LogNormal
0.3274887,0.30067506,0.30672196,P3HT_dataset.csv,LogNormal
1.1217726,0.9542949,1.0144655,Perovskite_dataset.csv,LogNormal
0.16943102,0.13054675,0.115971595,AgNP_dataset.csv,LogNormal
0.31797707,0.23170733,0.10948642,AutoAM_dataset.csv,LogNormal
0.27562574,0.25530973,0.22326037,CrossedBarrel_dataset.csv,LogNormal
0.33159658,0.30236188,0.3069419,P3HT_dataset.csv,LogNormal
1.1259598,0.959383,1.0144453,Perovskite_dataset.csv,LogNormal
0.16316305,0.12622367,0.12283261,AgNP_dataset.csv,LogNormal
0.30355543,0.22010535,0.10948642,AutoAM_dataset.csv,LogNormal
0.27593553,0.25293705,0.25652266,CrossedBarrel_dataset.csv,LogNormal
0.33414307,0.30487347,0.306722,P3HT_dataset.csv,LogNormal
1.1293482,0.96388257,1.0144495,Perovskite_dataset.csv,LogNormal
0.166817,0.12250235,0.13174991,AgNP_dataset.csv,LogNormal
0.31658193,0.21150261,0.10948642,AutoAM_dataset.csv,LogNormal
0.2736436,0.25030857,0.20760714,CrossedBarrel_dataset.csv,LogNormal
0.33610234,0.30546913,0.33339942,P3HT_dataset.csv,LogNormal
1.1421336,0.9677747,1.0144426,Perovskite_dataset.csv,LogNormal
