45,359,6185,102,421
11.38,86.01,278.51,12.77,39.11
293.93,33.44,240.44,11.49,220.66
155.3457121,6.73,6.44,311.2965408,5.09
213.5,6.25,76.51244504,213.5,7.85
395.74,12.36,34.35,405.26,63.53
11.49,561.86,92.38,195.33,10.32
12.19,660.0,15.85,10.58,6.25
543.75,16.66,31.24,214.93,179.12
659.36,484.36,44.1,37.09,398.5758253
636.48,419.51,118.34,382.45,7.08
45.97,215.37,14.78,215.37,45.97
14.78,45.97,490.06,140.7,14.78
215.37,14.78,215.37,490.06,215.37
16.34,44.1,45.97,45.97,490.06
37.09,207.58,215.93,14.78,44.1
215.93,490.06,634.35,44.1,16.34
490.06,16.34,179.53,634.35,634.35
44.1,37.09,41.89833748,16.34,37.09
634.35,634.35,16.34,6.31,688.74
6.31,195.33,26.19,688.74,195.33
15.85,140.7,688.74,215.93,325.42
12.77,688.74,207.58,15.85,15.85
195.33,325.42,37.09,725.7933279,725.7933279
688.74,248.62,218.67,7.67,140.7
7.67,215.93,140.7,788.8326479,213.5
325.42,725.7933279,248.62,325.42,7.96
17.96,15.85,725.7933279,17.96,788.8326479
725.7933279,12.19,636.48,12.19,12.77
140.7,12.77,6.31,179.12,248.62
179.12,6.31,179.12,804.11,215.93
788.8326479,788.8326479,788.8326479,16.94,12.19
16.94,45.53,12.77,45.53,804.11
26.19,804.11,325.42,207.58,45.53
45.53,7.67,804.11,26.19,268.25
7.96,268.25,12.19,839.28,839.28
297.95,213.5,226.25,248.62,852.33
804.11,17.96,45.53,8.39,179.53
207.58,839.28,839.28,179.53,16.94
179.53,16.94,195.33,17.89,207.58
839.28,17.89,7.67,218.67,17.96
19.06,26.19,16.94,852.33,311.2965408
248.62,852.33,11.47,9.71,218.67
8.39,8.39,297.95,297.95,293.93
9.71,179.12,766.85,19.06,41.89833748
17.89,179.53,852.33,226.25,554.41
411.82,19.06,17.96,7.96,14.78
852.33,824.47,19.06,824.47,824.47
824.47,904.29,311.2965408,19.3,580.44
6.44,9.71,18.25,41.89833748,19.06
268.25,546.79,637.46,6.44,17.89
